show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,duration_value,duration_type
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,2021.0,90,min
s2,TV Show,Blood & Water,Unknown,South Africa,2021-09-24,2021,TV-MA,2 Seasons,International TV Shows,2021.0,2,Seasons
s2,TV Show,Blood & Water,Unknown,South Africa,2021-09-24,2021,TV-MA,2 Seasons,TV Dramas,2021.0,2,Seasons
s2,TV Show,Blood & Water,Unknown,South Africa,2021-09-24,2021,TV-MA,2 Seasons,TV Mysteries,2021.0,2,Seasons
s3,TV Show,Ganglands,Julien Leclercq,Unknown,2021-09-24,2021,TV-MA,1 Season,Crime TV Shows,2021.0,1,Season
s3,TV Show,Ganglands,Julien Leclercq,Unknown,2021-09-24,2021,TV-MA,1 Season,International TV Shows,2021.0,1,Season
s3,TV Show,Ganglands,Julien Leclercq,Unknown,2021-09-24,2021,TV-MA,1 Season,TV Action & Adventure,2021.0,1,Season
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,Docuseries,2021.0,1,Season
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,Reality TV,2021.0,1,Season
s5,TV Show,Kota Factory,Unknown,India,2021-09-24,2021,TV-MA,2 Seasons,International TV Shows,2021.0,2,Seasons
s5,TV Show,Kota Factory,Unknown,India,2021-09-24,2021,TV-MA,2 Seasons,Romantic TV Shows,2021.0,2,Seasons
s5,TV Show,Kota Factory,Unknown,India,2021-09-24,2021,TV-MA,2 Seasons,TV Comedies,2021.0,2,Seasons
s6,TV Show,Midnight Mass,Mike Flanagan,Unknown,2021-09-24,2021,TV-MA,1 Season,TV Dramas,2021.0,1,Season
s6,TV Show,Midnight Mass,Mike Flanagan,Unknown,2021-09-24,2021,TV-MA,1 Season,TV Horror,2021.0,1,Season
s6,TV Show,Midnight Mass,Mike Flanagan,Unknown,2021-09-24,2021,TV-MA,1 Season,TV Mysteries,2021.0,1,Season
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Unknown,2021-09-24,2021,PG,91 min,Children & Family Movies,2021.0,91,min
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Ghana,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Burkina Faso,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,United Kingdom,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Germany,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Ethiopia,2021-09-24,1993,TV-MA,125 min,Dramas,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Ghana,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Burkina Faso,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,United Kingdom,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Germany,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Ethiopia,2021-09-24,1993,TV-MA,125 min,Independent Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,International Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Ghana,2021-09-24,1993,TV-MA,125 min,International Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Burkina Faso,2021-09-24,1993,TV-MA,125 min,International Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,United Kingdom,2021-09-24,1993,TV-MA,125 min,International Movies,2021.0,125,min
s8,Movie,Sankofa,Haile Gerima,Germany,2021-09-24,1993,TV-MA,125 min,International Movies,2021.0,125,min
